#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_become_exalted_fem_title;Become Exalted among Women;Devenir la plus glorieuse parmi des femmes;Vorbild für die Menschheit werden;;Ser glorificada entre los mujeres;;;;;;;;;x
opinion_exalted;Exalted among Men;Personnage marquant de l'Histoire;Unter den Sterblichen verherrlicht;;Augusto entre los hombres;;;;;;;;;x
obj_become_exalted_fem_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;[This.GetTitledFirstName] veut que son nom s'inscrive à jamais sur le glorieux marbre blanc de l'Histoire.;[This.GetTitledFirstName] will, dass [This.GetHerHis] Name für immer in die Annalen der Geschichte eingeht.;;[This.GetTitledFirstName] quiere que [This.GetHerHis] nombre viva para siempre en los anales de la historia.;;;;;;;;;xnick_the_young;the Young;le Jeune;der Junge;;El Joven;;;;;;;;;x
obj_become_paragon_of_virtue_fem_title;Become Paragon of Virtue;Devenir un modèle de vertu;Tugendbold werden;;Ser un modelo de virtud;;;;;;;;;x
obj_become_paragon_of_virtue_fem_desc;[This.GetTitledFirstName] strives to become a beacon of chivalry and honor - a paragon of virtue.;[This.GetTitledFirstName] use de courtoisie et d’honneur pour devenir un modèle de vertu.;[This.GetTitledFirstName] strebt nach Ritterlichkeit und Ehre - ein Tugendbold.;;[This.GetTitledFirstName] quiere convertirse en un ejemplo de caballerosidad y honor, modelo de virtud.;;;;;;;;;x
nick_the_old;the Old;l'Ancien;der Alte;;El Anciano;;;;;;;;;x
nick_the_conqueror;the Conqueror;le Conquérant;der Eroberer;;El Conquistador;;;;;;;;;x
nick_the_lawgiver;the Lawgiver;le Législateur;der Gesetzesgeber;;El Legislador;;;;;;;;;x
nick_the_usurper;the Usurper;l’Usurpateur;der Thronräuber;;El Usurpador;;;;;;;;;x
nick_the_hammer;the Hammer;le Martel;der Hammer;;El Martillo;;;;;;;;;x
nick_the_victorious;the Victorious;le Victorieux;der Siegreiche;;El Victorioso;;;;;;;;;x
nick_the_crusader;the Crusader;le Croisé;der Kreuzfahrer;;El Paladín;;;;;;;;;x
nick_the_holy;the Holy;le Saint;der Heilige;;El Santo;;;;;;;;;x
nick_the_avenger;the Avenger;le Vengeur;der Rächer;;El Vengador;;;;;;;;;x
nick_the_brave;the Brave;le Brave;der Tapfere;;El Valiente;;;;;;;;;x
nick_the_fearless;the Fearless;Sans Peur;der Furchtlose;;El Temerario;;;;;;;;;x
nick_the_martyr;the Martyr;le Martyr;der Märtyrer;;El Mártir;;;;;;;;;x
nick_the_unlucky;the Unlucky;le Malchanceux;der Glücklose;;El Desafortunado;;;;;;;;;x
nick_the_lucky;the Lucky;le Fortuné;der Glückliche;;El Afortunado;;;;;;;;;x
nick_the_restorer;the Restorer;le Restaurateur;der Wiederhersteller;;El Restaurador;;;;;;;;;x
nick_the_accursed;the Accursed;le Maudit;der Verfluchte;;El Condenado;;;;;;;;;x
nick_the_wicked;the Wicked;le Mauvais;der Böse;;El Malvado;;;;;;;;;x
nick_the_bewitched;the Bewitched;l’Enchanteur;der Verhexte;;El Embrujado;;;;;;;;;x
nick_priest_hater;Priest-Hater;l’Anti-clérical;der Priesterhasser;;Repudiacuras;;;;;;;;;x
nick_the_pious;the Pious;le Pieux;der Fromme;;El Piadoso;;;;;;;;;x
nick_the_apostle;the Apostle;l’Apôtre;der Apostel;;El Apóstol;;;;;;;;;x
nick_the_blessed;the Blessed;le Béni;der Gesegnete;;El Bendito;;;;;;;;;x
nick_the_confessor;the Confessor;le Confesseur;der Bekenner;;El Confesor;;;;;;;;;x
nick_the_monk;the Monk;le Moine;der Mönch;;El Monje;;;;;;;;;x
nick_the_chaste;the Chaste;le Chaste;der Keusche;;El Casto;;;;;;;;;x
nick_the_hunter;the Hunter;le Chasseur;der Jäger;;El Cazador;;;;;;;;;x
nick_the_fowler;the Fowler;le Traqueur;der Vogeljäger;;El Cazaperdices;;;;;;;;;x
nick_the_just;the Just;le Juste;der Gerechte;;El Justo;;;;;;;;;x
nick_the_lame;the Lame;le Boiteux;der Lahme;;El Lisiado;;;;;;;;;x
nick_the_handsome;the Handsome;le Beau;der Schöne;;El Guapo;;;;;;;;;x
nick_the_fair;the Fair;le Bel;der Hübsche;;El Honrado;;;;;;;;;x
nick_the_mad;the Mad;le Fou;der Verrückte;;El Loco;;;;;;;;;x
nick_the_fat;the Fat;le Gros;der Fette;;El Gordo;;;;;;;;;x
nick_the_drunkard;the Drunkard;l'Ivrogne;der Säufer;;El Borracho;;;;;;;;;x
nick_the_cruel;the Cruel;le Cruel;der Grausame;;El Cruel;;;;;;;;;x
nick_the_wise;the Wise;le Sage;der Weise;;El Sabio;;;;;;;;;x
nick_the_bastard;the Bastard;le Bâtard;der Bastard;;El Bastardo;;;;;;;;;x
nick_the_blind;the Blind;l’Aveugle;der Blinde;;El Ciego;;;;;;;;;x
nick_half_hand;Half-Hand;Demi-main;Halbhand;;Mediamano;;;;;;;;;x
nick_the_gouty;the Gouty;le Goutteux;der Gichtige;;El Gotoso;;;;;;;;;x
nick_the_ironside;the Ironside;l'Intrépide;der Eiserne;;El Intrépido;;;;;;;;;x
nick_the_lion;the Lion;le Lion;der Löwe;;El León;;;;;;;;;x
nick_the_lionheart;the Lionheart;Cœur de Lion;Löwenherz;;El Corazón de León;;;;;;;;;x
nick_the_bold;the Bold;le Téméraire;der Kühne;;El Audaz;;;;;;;;;x
nick_the_unready;the Unready;le Novice;der Unfertige;;El Novato;;;;;;;;;x
nick_the_ill_ruler;the Ill-Ruler;le Malavisé;der schlechte Herrscher;;El Malsoberano;;;;;;;;;x
nick_the_terrible;the Terrible;le Terrible;der Schreckliche;;El Terrible;;;;;;;;;x
nick_the_magnificent;the Magnificent;le Magnifique;der Wunderbare;;El Magnífico;;;;;;;;;x
nick_the_quarreller;the Quarreller;le Querelleur;der Zänkische;;El Peleón;;;;;;;;;x
nick_the_builder;the Builder;le Bâtisseur;der Erbauer;;El Constructor;;;;;;;;;x
nick_the_devil;the Devil;le Maléfique;der Teufel;;El Demonio;;;;;;;;;x
nick_the_dragon;the Dragon;le Dragon;der Drache;;El Dragón;;;;;;;;;x
nick_the_careless;the Careless;l’Imprudent;der Sorglose;;El Imprudente;;;;;;;;;x
nick_the_peaceable;the Peaceable;le Pacifique;der Friedliebende;;El Pacífico;;;;;;;;;x
nick_the_prudent;the Prudent;le Prudent;der Kluge;;El Prudente;;;;;;;;;x
nick_the_unwilling;the Unwilling;le Couard;der Unwillige;;El Flojo;;;;;;;;;x
nick_the_lackland;Lackland;Sans-Terre;Ohneland;;Sin Tierra;;;;;;;;;x
nick_the_able;the Able;L'Habile;der Fähige;;El Habilidoso;;;;;;;;;x
nick_the_kind;the Kind;le Débonnaire;der Gütige;;El Amable;;;;;;;;;x
nick_the_good;the Good;le Bon;der Gute;;El Bueno;;;;;;;;;x
nick_the_troubadour;the Troubadour;le Troubadour;der Troubadour;;El Trovador;;;;;;;;;x
nick_the_strong;the Strong;le Fort;der Starke;;El Fuerte;;;;;;;;;x
nick_the_magnanimous;the Magnanimous;le Magnanime;der Großmütige;;El Magnánimo;;;;;;;;;x
nick_the_simple;the Simple;le Simple;der Simple;;El Simple;;;;;;;;;x
nick_the_merry;the Merry;le Joyeux;der Fröhliche;;El Jovial;;;;;;;;;x
nick_the_noble;the Noble;le Noble;der Edle;;El Noble;;;;;;;;;x
nick_the_gentle;the Gentle;le Doux;der Sanfte;;El Gentil;;;;;;;;;x
nick_the_proud;the Proud;le Fier;der Stolze;;El Orgulloso;;;;;;;;;x
nick_the_silent;the Silent;le Taciturne;der Stille;;El Silencioso;;;;;;;;;x
nick_the_warlike;the Warlike;le Belliqueux;der Kriegstreiber;;El Belicoso;;;;;;;;;x
nick_the_great;the Great;le Grand;der Große;;El Grande;;;;;;;;;x
nick_the_effeminate;the Effeminate;l’Efféminé;der Weibische;;El Afeminado;;;;;;;;;x
nick_the_clueless;the Clueless;l’Idiot;der Dusselige;;El Despistado;;;;;;;;;x
nick_the_ill_tempered;the Ill-tempered;le Coléreux;der Cholerische;;Mal Genio;;;;;;;;;x
nick_the_affable;the Affable;l’Affable;der Umgängliche;;El Afable;;;;;;;;;x
nick_the_heathen;the Heathen;le Païen;der Heide;;El Pagano;;;;;;;;;x
nick_the_liberator;the Liberator;le Libérateur;der Befreier;;El Libertador;;;;;;;;;x
nick_the_lisp_and_lame;the Lisp and Lame;le Bègue boiteux;die Lispelnden und die Lahmen;;el Tartamudo y Cojo;;;;;;;;;x
nick_haardraade;Hårdråde;Hårdråde;Hårdråde;;Hårdråde;;;;;;;;;x
#;NICKNAMES FEMININS POUR MINI-MOD;;;;;;;;;;;;;x
nick_the_young_female;the Young;la Jeune;der Junge;;El Joven;;;;;;;;;x
nick_the_old_female;the Old;l'Ancienne;der Alte;;El Anciano;;;;;;;;;x
nick_the_conqueror_female;the Conqueror;la Conquérante;der Eroberer;;El Conquistador;;;;;;;;;x
nick_the_lawgiver_female;the Lawgiver;la Législatrice;der Gesetzesgeber;;El Legislador;;;;;;;;;x
nick_the_usurper_female;the Usurper;l’Usurpatrice;der Thronräuber;;El Usurpador;;;;;;;;;x
nick_the_hammer_female;the Hammer;la Martel;der Hammer;;El Martillo;;;;;;;;;x
nick_the_victorious_female;the Victorious;la Victorieuse;der Siegreiche;;El Victorioso;;;;;;;;;x
nick_the_crusader_female;the Crusader;la Croisée;der Kreuzfahrer;;El Paladín;;;;;;;;;x
nick_the_holy_female;the Holy;la Sainte;der Heilige;;El Santo;;;;;;;;;x
nick_the_avenger_female;the Avenger;la Vengeresse;der Rächer;;El Vengador;;;;;;;;;x
